Parameter,Reference,Iteration,Value,Attribute,smirks,SMIRKS
n20,1.799798315098,11,1.821669823102,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,11,1.852399828384,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,11,1.93116948093,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,12,1.47543709973,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,12,1.437878297237,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,12,1.29464116851,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,12,1.198210491981,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,12,1.424634094802,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,12,1.38298360582,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,12,1.372631630972,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,12,0.6250253230398,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,12,0.3000878044512,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,12,1.97788150754,rmin_half,[#6:1],[#6:1]
n15,1.908,12,1.904975982343,rmin_half,[#6X2:1],[#6X2:1]
