,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
68,dhmix_2289960806584862127,298.15,101.0,Liquid,2,BrCCCBr,Solvent,0.2395,,COC=O,Solvent,0.7605,,0.6669,0.00595,10.1016/j.jct.2006.05.004
69,dhmix_202225007451030020,298.15,101.0,Liquid,2,CC(=O)CC(C)C,Solvent,0.2017,,CCC(C)(C)O,Solvent,0.7983,,0.8181,0.01135,10.1021/je300678r
70,dhmix_998794233701009996,298.15,101.0,Liquid,2,CC(=O)CC(C)C,Solvent,0.5008,,CCC(C)(C)O,Solvent,0.4992,,1.3674,0.0185,10.1021/je300678r
71,dhmix_1565593158104493647,298.15,101.0,Liquid,2,CC(=O)CC(C)C,Solvent,0.7009,,CCC(C)(C)O,Solvent,0.2991,,1.2068,0.0164,10.1021/je300678r
72,dhmix_281987656487279026,298.15,101.0,Liquid,2,OC1=NCCC1,Solvent,0.5256,,c1ccncc1,Solvent,0.4744,,0.2031,0.0508,10.1016/j.jct.2013.09.015
73,dhmix_658699797311871042,298.15,101.0,Liquid,2,OC1=NCCC1,Solvent,0.2615,,c1ccncc1,Solvent,0.7384999999999999,,0.165,0.04125,10.1016/j.jct.2013.09.015
74,dhmix_774470106511868908,298.15,101.0,Liquid,2,OC1=NCCC1,Solvent,0.8311,,c1ccncc1,Solvent,0.1689,,0.0972,0.0243,10.1016/j.jct.2013.09.015
75,dhmix_150384853762728924,298.15,101.0,Liquid,2,NCCCO,Solvent,0.7515,,O,Solvent,0.2485,,-1.531,0.031,10.1016/j.jct.2007.03.010
76,dhmix_1448036989335532298,298.15,101.0,Liquid,2,NCCCO,Solvent,0.2982,,O,Solvent,0.7018,,-2.501,0.051,10.1016/j.jct.2007.03.010
77,dhmix_1551692974855642379,298.15,101.0,Liquid,2,NCCCO,Solvent,0.4989,,O,Solvent,0.5011,,-2.462,0.05,10.1016/j.jct.2007.03.010
78,dhmix_65921650414250861,298.15,100.0,Liquid,2,CCO,Solvent,0.5005,,CCOC(=O)CC(C)=O,Solvent,0.4995,,1.7079,0.0183,10.1016/j.fluid.2008.03.012
79,dhmix_546962203716710778,298.15,100.0,Liquid,2,CCO,Solvent,0.7006,,CCOC(=O)CC(C)=O,Solvent,0.2994,,1.4925,0.01605,10.1016/j.fluid.2008.03.012
80,dhmix_2221487218644783272,298.15,100.0,Liquid,2,CCO,Solvent,0.2992,,CCOC(=O)CC(C)=O,Solvent,0.7008,,1.478,0.0159,10.1016/j.fluid.2008.03.012
81,dhmix_68947190908856741,298.15,101.3,Liquid,2,C1COCCO1,Solvent,0.25,,O=C1CCCC1,Solvent,0.75,,0.04589,0.00057,10.1021/je034037l
82,dhmix_415496698649060745,298.15,101.3,Liquid,2,C1COCCO1,Solvent,0.5,,O=C1CCCC1,Solvent,0.5,,0.07457,0.00068,10.1021/je034037l
83,dhmix_1852349497898107924,298.15,101.3,Liquid,2,C1COCCO1,Solvent,0.75,,O=C1CCCC1,Solvent,0.25,,0.07097,0.000665,10.1021/je034037l
84,dhmix_71170350241685196,303.0,101.0,Liquid,2,COC(C)(C)C,Solvent,0.749,,ClC(Cl)Cl,Solvent,0.251,,-1.9,0.077,10.1021/je100821g
85,dhmix_1691495556773848750,303.0,101.0,Liquid,2,COC(C)(C)C,Solvent,0.484,,ClC(Cl)Cl,Solvent,0.516,,-2.1,0.0845,10.1021/je100821g
86,dhmix_2232264038422377060,303.0,101.0,Liquid,2,COC(C)(C)C,Solvent,0.2199999999999999,,ClC(Cl)Cl,Solvent,0.78,,-1.5,0.0605,10.1021/je100821g
87,dhmix_73322629991074290,298.15,100.0,Liquid,2,CCC(C)=O,Solvent,0.2124,,CCN(CC)CC,Solvent,0.7876,,0.57,0.006,10.1016/j.fluid.2013.07.037
88,dhmix_690665189446107141,298.15,100.0,Liquid,2,CCC(C)=O,Solvent,0.4967,,CCN(CC)CC,Solvent,0.5033,,0.746,0.008,10.1016/j.fluid.2013.07.037
89,dhmix_935249702283890201,298.15,100.0,Liquid,2,CCC(C)=O,Solvent,0.7893,,CCN(CC)CC,Solvent,0.2107,,0.455,0.005,10.1016/j.fluid.2013.07.037
90,dhmix_76833325524040726,298.2,100.0,Liquid,2,C1CCCCC1,Solvent,0.2606,,c1ccccc1,Solvent,0.7394,,0.6282,0.00695,10.1016/j.jct.2014.05.020
91,dhmix_460305358266375837,298.2,100.0,Liquid,2,C1CCCCC1,Solvent,0.7668,,c1ccccc1,Solvent,0.2332,,0.5517,0.00725,10.1016/j.jct.2014.05.020
92,dhmix_1824194485055356086,298.2,100.0,Liquid,2,C1CCCCC1,Solvent,0.5012,,c1ccccc1,Solvent,0.4988,,0.7893,0.00655,10.1016/j.jct.2014.05.020
93,dhmix_750283179383190388,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.7411,,O,Solvent,0.2589,,-1.154,0.0125,10.1016/j.jct.2015.06.006
94,dhmix_1537351248216247854,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.2593,,O,Solvent,0.7407,,-2.271,0.046,10.1016/j.jct.2007.03.010
95,dhmix_1761290393567900831,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.4941,,O,Solvent,0.5059,,-2.072,0.042,10.1016/j.jct.2007.03.010
96,dhmix_81883535492439507,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.2,,O=C1CCCC1,Solvent,0.8,,-0.00853,0.000425,10.1021/je034223r
97,dhmix_309530351940031317,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.7,,O=C1CCCC1,Solvent,0.3,,-0.02292,0.00048,10.1021/je034223r
98,dhmix_1480225642523009634,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.5,,O=C1CCCC1,Solvent,0.5,,-0.02181,0.000475,10.1021/je034223r
99,dhmix_582184351339863568,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.7602,,c1ccncc1,Solvent,0.2398,,-1.6452,0.01075,10.1016/j.fluid.2013.10.029
100,dhmix_809205277185290719,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.5095,,c1ccncc1,Solvent,0.4905,,-2.649,0.01645,10.1016/j.fluid.2013.10.029
101,dhmix_2302696180464118683,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.2395,,c1ccncc1,Solvent,0.7605,,-1.7662,0.01145,10.1016/j.fluid.2013.10.029
102,dhmix_84488753175979819,298.15,101.3,Liquid,2,C1CCOCC1,Solvent,0.5,,CCO,Solvent,0.5,,0.8491,0.00794,10.1021/je049852v
103,dhmix_923986751684807715,298.15,101.3,Liquid,2,C1CCOCC1,Solvent,0.75,,CCO,Solvent,0.25,,0.75364,0.007115,10.1021/je049852v
104,dhmix_927648698725704337,298.15,101.3,Liquid,2,C1CCOCC1,Solvent,0.25,,CCO,Solvent,0.75,,0.57017,0.00553,10.1021/je049852v
105,dhmix_1461699545612032563,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.2145,,Nc1ccccc1,Solvent,0.7855,,-0.746,0.008,10.1021/je200333p
106,dhmix_1577476208805542019,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.6991,,Nc1ccccc1,Solvent,0.3008999999999999,,-1.076,0.0115,10.1021/je200333p
107,dhmix_2267661763264899390,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.4107,,Nc1ccccc1,Solvent,0.5892999999999999,,-1.165,0.0125,10.1021/je200333p
108,dhmix_90851537891129625,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2683,,Cc1ccccn1,Solvent,0.7317,,0.1057,0.00105,10.1016/j.tca.2011.02.002
109,dhmix_975790739707505549,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4822,,Cc1ccccn1,Solvent,0.5178,,0.1728,0.00135,10.1016/j.tca.2011.02.002
110,dhmix_1841520238596708010,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.8216,,Cc1ccccn1,Solvent,0.1784,,0.1352,0.0012,10.1016/j.tca.2011.02.002
111,dhmix_93676522673462266,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.702,,ClCCCl,Solvent,0.298,,-0.706,0.004,10.1016/j.jct.2007.06.017
112,dhmix_504891727488256514,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.202,,ClCCCl,Solvent,0.798,,-0.586,0.004,10.1016/j.jct.2007.06.017
